puuid,user,tag,hs_percent,body_percent,leg_percent,s_damage_per_round,s_kd_ratio,s_hs_percent,s_win_percent,s_kast_percent,s_dd_round,s_acs,s_kad_ratio,s_kills_per_round,deaths_per_game,kills_per_game,assists_per_game,first_bloods_per_game,flawless_rounds_per_game,aces_per_game,smurf_label
45e8ac23-db0d-5090-b230-ad7d889309dc,mayafuni,doggo,29.4,66.9,3.6,148.3,1.24,32.3,56.7,75.9,24.0,223.9,1.55,0.8,13.674705882352942,16.94329411764706,4.302529411764707,2.1012352941176475,0.5002941176470589,0.0333529411764705,suspicious
2a583b9c-b341-5102-a2b3-2b2e41ccce03,LittleMsKillJoy,Na 1,8.2,79.3,12.5,135.0,0.9,8.2,40.0,77.5,-10.0,213.1,1.36,0.7,14.4,13.0,6.6,1.4,0.2,0.0,normal player
e0ddb0f6-19f1-5681-b24a-900a3c6a9220,jarvuh,1213,28.7,64.8,6.5,141.9,1.04,27.3,52.9,71.0,1.0,220.1,1.43,0.8,15.811222222222222,16.399,6.171666666666666,3.2621666666666664,0.6171666666666666,0.0,normal player
3af90926-244f-501e-a7b6-329e16caa0e0,Big Meat Mishk,8867,17.6,76.6,5.8,131.6,0.86,19.9,42.4,68.1,-12.0,194.8,1.19,0.7,16.46028571428571,14.219142857142854,5.315142857142856,2.286571428571428,0.8177142857142855,0.0,normal player
f325c41c-92c0-5dda-88f5-8810005d8f9c,turtletimmy,2737,23.7,69.2,7.2,137.1,1.05,23.5,54.8,68.6,2.0,209.5,1.24,0.7,15.11835294117647,15.859764705882352,2.868941176470588,2.256470588235294,0.9348235294117646,0.0644705882352941,normal player
9f2ed591-2ed3-579c-b47c-4f67dd83e4dc,She Her,Slayy,21.5,71.6,6.8,161.2,1.16,24.4,45.3,72.1,22.0,242.5,1.43,0.9,15.65173076923077,18.131615384615387,4.193153846153846,2.4798846153846155,0.7840384615384616,0.0348461538461538,suspicious
6bc62bef-3564-5943-a0f1-8b4c66814f27,L1ght,4905,28.5,65.4,6.1,147.6,1.07,24.9,45.7,71.7,10.0,221.6,1.41,0.8,15.654906976744186,16.67518604651163,5.441488372093024,1.8492558139534885,0.8608604651162791,0.0,normal player
edf30b46-17c7-554d-894c-dce6d93c8e31,BustaNutTimmy,987,23.7,71.2,5.1,144.4,0.99,23.7,47.1,70.3,5.0,214.0,1.26,0.7,15.66075,15.543,4.12125,2.060625,0.529875,0.058875,normal player
58963ab1-5699-5f94-9ea0-46c623154e84,d3rka,tofu,31.3,64.7,3.9,135.3,1.01,31.2,45.5,70.7,1.0,203.8,1.4,0.7,14.802666666666669,14.924,5.854333333333334,1.4560000000000002,0.7886666666666667,0.0606666666666666,normal player
e0a1af87-4c60-5fe3-997e-d67f4e950252,U NEED AIMLABS,COM,29.7,64.5,5.8,128.7,0.97,29.0,54.5,69.7,-4.0,193.1,1.28,0.7,14.824956140350878,14.356447368421051,4.5799122807017545,1.8835964912280705,0.7792543859649123,0.0095614035087719,normal player
c470db10-7548-5ca6-a7d2-c1804f5ebd52,Arise,9797,25.7,67.3,7.0,129.0,0.93,26.5,46.4,66.2,-15.0,192.3,1.17,0.7,15.311999999999998,14.20553846153846,3.747692307692307,2.177230769230769,0.7852307692307691,0.0356923076923076,normal player
75d49652-01ea-5873-bb7d-3ed021318496,jia,idk,23.2,73.4,3.4,141.9,1.03,23.9,45.3,72.1,5.0,210.5,1.36,0.7,14.95348514851485,15.37060396039604,4.89329702970297,1.7357524752475246,0.7131386138613861,0.0179405940594059,normal player
2a759bec-7834-527f-bcee-cddf73071a15,Misguided,yippe,35.2,60.6,4.2,142.2,0.91,35.9,34.6,64.5,-13.0,218.2,1.1,0.8,17.415333333333333,15.83911111111111,3.267777777777777,3.4984444444444445,0.6535555555555556,0.0384444444444444,normal player
44b75c0b-ad8a-5906-9adb-2f23034e9468,Ryame,9103,21.8,72.3,5.9,141.1,0.96,19.7,45.6,71.1,-1.0,217.0,1.34,0.7,16.238666666666667,15.542,6.244666666666666,2.115333333333333,0.8486666666666667,0.0253333333333333,normal player
765ab0c5-f7f3-5400-a048-79beccb2e28e,tensa,15,393.3,56.3,4.5,128.8,0.79,39.3,33.3,64.7,-19.0,182.4,1.04,0.6,17.648999999999997,13.986,4.329,2.664,0.6659999999999999,0.0,normal player
59c58893-32b4-5f96-83ce-2d38303ea75d,IronaimIronmind,NA333,17.7,75.1,7.2,144.4,1.07,18.1,52.6,73.2,6.0,217.7,1.44,0.8,14.8858,15.8852,5.523,1.3676,0.9731,0.0,suspicious
28637963-27c1-5e4d-9309-67ade2e1b469,jamjammie,erm,24.3,70.6,5.1,123.8,0.96,25.1,59.1,73.7,-14.0,186.3,1.45,0.7,14.20673076923077,13.570269230769233,7.069269230769232,1.0001538461538462,0.977423076923077,0.0,normal player
2049c523-6c6a-5207-8bfc-8d814f2623dd,Phaser,6097,39.4,56.9,3.7,144.3,1.06,40.3,52.9,73.8,9.0,217.2,1.46,0.8,15.546722222222222,16.45777777777778,6.259833333333333,2.4980555555555557,0.8816666666666666,0.0293888888888888,suspicious
b0296564-90f0-5893-9614-191115d3c92a,Zephan,777,19.9,74.3,5.8,135.1,0.99,20.3,50.0,71.3,2.0,204.2,1.36,0.7,15.4,15.25,5.766666666666667,1.4666666666666666,0.55,0.0166666666666666,normal player
08087ae3-b873-5131-bfbb-734859fb44df,wizy,him,28.8,66.7,4.5,154.5,0.97,28.5,53.2,70.6,-5.0,232.5,1.31,0.8,16.853283582089553,16.37289552238806,5.784507462686568,2.4813432835820897,0.6391940298507462,0.0635223880597014,suspicious
2e367ca9-558f-567d-a1ee-a1b1a6ca8652,EVX GARDYAN,D3MON,28.3,66.4,5.3,133.4,0.97,28.3,48.0,69.1,-6.0,202.6,1.27,0.7,15.18,14.72,4.51,2.11,0.68,0.0,normal player
d376b7d2-af29-5523-95ef-510add3f161d,Jasssssson,NA1,29.6,65.0,5.4,166.2,1.339,34.1,67.9,75.0,38.0,253.5,1.69,0.9,14.126972222222223,19.57783333333333,4.319194444444444,2.7348611111111114,1.0562222222222224,0.0377222222222222,most likely smurf
a87609d7-5310-59a0-b07b-b88ddd3813bd,tloyf,Anya,28.1,66.3,5.7,172.4,1.22,25.7,52.5,73.9,27.0,260.4,1.55,0.9,15.583333333333334,19.041666666666668,5.091666666666667,2.033333333333333,0.7333333333333333,0.1,most likely smurf
